"AN_EXERCICIO","NR_PERIODO","IN_PERIODICIDADE","CO_ESFERA","CO_PODER","ID_ENTE","NO_ENTE","SG_ENTE","fase_despesa","funcao","VALUE","QT_HABITANTE","ELEMENTLABEL","DT_STATUS_COLETA","dh_consulta"
"2016","1","B","M","E","2604106","Caruaru","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","15997089.46","347088","Total das Despesas Exceto Intra-Orçamentárias","2016-03-30T19:19:12Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","2","B","M","E","2614303","Moreilândia","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1615070.8","11240","Total das Despesas Exceto Intra-Orçamentárias","2017-05-29T21:27:33Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","2","B","M","E","2603009","Cabrobó","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3796468.13","32927","Total das Despesas Exceto Intra-Orçamentárias","2015-05-26T19:19:54Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","2","B","M","E","2301406","Aratuba","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1937790.57","11300","Total das Despesas Exceto Intra-Orçamentárias","2017-06-01T10:38:07Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","2","B","M","E","2310209","Paracuru","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","4764971.63","33665","Total das Despesas Exceto Intra-Orçamentárias","2017-05-24T21:34:05Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","3","B","M","E","2612901","São Benedito do Sul","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","127443.06","15497","Total de Despesas Intraorçamentária","2018-07-25T18:55:46Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","5","B","M","E","2300309","Acopiara","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","9668180.58","53358","Total das Despesas Exceto Intra-Orçamentárias","2018-11-29T18:09:30Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","6","B","M","E","2608404","Jurema","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3711833.93","15229","Total das Despesas Exceto Intra-Orçamentárias","2018-03-25T18:51:24Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","2","B","M","E","2606606","Ibimirim","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","511952.48","28798","Total de Despesas Intraorçamentária","2017-05-30T21:02:32Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","5","B","M","E","2613800","São Vicente Ferrer","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1895318.29","17763","Total das Despesas Exceto Intra-Orçamentárias","2016-11-22T18:55:30Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","4","B","M","E","2610608","Paudalho","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","9049597.66","55493","Total das Despesas Exceto Intra-Orçamentárias","2018-09-26T13:40:17Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","3","B","M","E","2311009","Poranga","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2086693.31","12234","Total das Despesas Exceto Intra-Orçamentárias","2017-08-01T15:11:50Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","2","B","M","E","2309805","Pacoti","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","168920.85","11936","Total de Despesas Intraorçamentária","2018-05-18T20:10:06Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","4","B","M","E","2302909","Capistrano","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2577376.87","17793","Total das Despesas Exceto Intra-Orçamentárias","2019-09-29T17:40:25Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","6","B","M","E","2610202","Panelas","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","375459","26492","Total de Despesas Intraorçamentária","2020-04-30T18:50:42Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","4","B","M","E","2608750","Lagoa Grande","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3617144.09","25349","Total das Despesas Exceto Intra-Orçamentárias","2019-09-25T11:41:06Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","6","B","M","E","2614808","Tacaratu","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","5451282.66","25417","Total das Despesas Exceto Intra-Orçamentárias","2020-03-21T13:17:42Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","1","B","M","E","2616407","Vitória de Santo Antão","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","12231270.49","137915","Total das Despesas Exceto Intra-Orçamentárias","2019-03-29T01:55:06Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","2","B","M","E","2606408","Gravatá","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","7290353.97","82579","Total das Despesas Exceto Intra-Orçamentárias","2018-05-21T13:20:00Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","6","B","M","E","2612307","Saloá","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","408378.61","15761","Total de Despesas Intraorçamentária","2019-02-08T19:52:23Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","2","B","M","E","2303709","Caucaia","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3658385.6","363982","Total de Despesas Intraorçamentária","2019-05-30T13:11:45Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","5","B","M","E","2609907","Ouricuri","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","7951425.33","68236","Total das Despesas Exceto Intra-Orçamentárias","2017-11-20T20:05:44Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","6","B","M","E","2601300","Barra de Guabiraba","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2308960.31","14091","Total das Despesas Exceto Intra-Orçamentárias","2019-03-27T13:34:18Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","2","B","M","E","2612208","Salgueiro","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","5666695.05","59409","Total das Despesas Exceto Intra-Orçamentárias","2015-06-02T18:16:50Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","5","B","M","E","2612901","São Benedito do Sul","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","147469.66","15497","Total de Despesas Intraorçamentária","2018-11-28T14:39:33Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","3","B","M","E","2304608","General Sampaio","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1679057.87","6956","Total das Despesas Exceto Intra-Orçamentárias","2019-08-01T14:34:18Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","4","B","M","E","2312403","São Gonçalo do Amarante","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","12983541.96","48516","Total das Despesas Exceto Intra-Orçamentárias","2019-10-01T01:30:05Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","3","B","M","E","2305266","Ibaretama","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2505252.08","13317","Total das Despesas Exceto Intra-Orçamentárias","2019-07-25T18:15:24Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","5","B","M","E","2306108","Irauçuba","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3956222.68","24003","Total das Despesas Exceto Intra-Orçamentárias","2019-11-29T18:40:17Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","5","B","M","E","2603009","Cabrobó","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","4327353.62","33557","Total das Despesas Exceto Intra-Orçamentárias","2017-11-30T19:14:18Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","3","B","M","E","2310704","Pentecoste","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","5498075.67","36928","Total das Despesas Exceto Intra-Orçamentárias","2018-07-26T14:30:10Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","4","B","M","E","2311231","Potiretama","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","961078.45","6400","Total das Despesas Exceto Intra-Orçamentárias","2019-10-09T19:36:39Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","1","B","M","E","2616308","Vicência","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3750352.25","32513","Total das Despesas Exceto Intra-Orçamentárias","2019-03-28T10:28:01Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","1","B","M","E","2302305","Bela Cruz","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2483350.59","31956","Total das Despesas Exceto Intra-Orçamentárias","2015-03-30T23:21:38Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","2","B","M","E","2603207","Caetés","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3441982.47","28326","Total das Despesas Exceto Intra-Orçamentárias","2018-06-01T14:54:38Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","3","B","M","E","2604809","Cortês","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","108202.78","12602","Total de Despesas Intraorçamentária","2016-07-28T14:27:56Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","2","B","M","E","2610004","Palmares","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","570418.7","62571","Total de Despesas Intraorçamentária","2019-09-10T18:25:10Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","2","B","M","E","2313757","Umirim","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2708754.14","19521","Total das Despesas Exceto Intra-Orçamentárias","2016-05-25T16:11:05Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","1","B","M","E","2308500","Mombaça","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3998370.94","43678","Total das Despesas Exceto Intra-Orçamentárias","2017-03-30T18:03:22Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","1","B","M","E","2604502","Chã Grande","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","252708.44","21402","Total de Despesas Intraorçamentária","2017-03-31T01:46:04Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","1","B","M","E","2603306","Calçado","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1343396.03","11179","Total das Despesas Exceto Intra-Orçamentárias","2015-04-10T03:30:03Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","4","B","M","E","2300200","Acaraú","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","6969849.39","60684","Total das Despesas Exceto Intra-Orçamentárias","2015-10-16T01:30:21Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","6","B","M","E","2605301","Exu","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","903713.15","31928","Total de Despesas Intraorçamentária","2018-07-26T21:22:21Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","3","B","M","E","2616001","Venturosa","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","188324.66","17870","Total de Despesas Intraorçamentária","2016-07-28T19:51:57Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","3","B","M","E","2304285","Eusébio","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","15369081.93","51127","Total das Despesas Exceto Intra-Orçamentárias","2016-08-03T20:17:38Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","5","B","M","E","2308203","Meruoca","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2726936.74","14814","Total das Despesas Exceto Intra-Orçamentárias","2018-12-04T01:33:47Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","3","B","M","E","2306405","Itapipoca","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","18037175.81","126234","Total das Despesas Exceto Intra-Orçamentárias","2018-07-31T17:00:47Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","2","B","M","E","2609402","Moreno","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","4330903.86","61577","Total das Despesas Exceto Intra-Orçamentárias","2018-05-25T16:16:24Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","2","B","M","E","2305902","Ipueiras","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","5299374.72","38022","Total das Despesas Exceto Intra-Orçamentárias","2016-05-25T14:40:51Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","2","B","M","E","2313401","Tianguá","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","9238574.5","72803","Total das Despesas Exceto Intra-Orçamentárias","2015-05-29T17:14:11Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","1","B","M","E","2614600","Tabira","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2217355.17","27958","Total das Despesas Exceto Intra-Orçamentárias","2016-04-26T17:27:19Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","1","B","M","E","2611200","Poção","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1491996.82","11266","Total das Despesas Exceto Intra-Orçamentárias","2018-03-28T00:32:08Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","2","B","M","E","2601805","Betânia","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2067784.36","12589","Total das Despesas Exceto Intra-Orçamentárias","2017-05-30T17:40:53Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","4","B","M","E","2614006","Serrita","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2683867.86","19133","Total das Despesas Exceto Intra-Orçamentárias","2019-09-26T17:45:34Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","6","B","M","E","2304400","Fortaleza","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","41461895.92","2609716","Total de Despesas Intraorçamentária","2018-01-26T19:47:04Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","5","B","M","E","2313559","Tururu","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","4152490.2","15768","Total das Despesas Exceto Intra-Orçamentárias","2018-12-08T01:31:23Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","1","B","M","E","2310407","Paramoti","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1301513.05","11533","Total das Despesas Exceto Intra-Orçamentárias","2015-05-20T18:26:41Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","5","B","M","E","2602902","Cabo de Santo Agostinho","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2434592.35","202636","Total de Despesas Intraorçamentária","2018-11-29T21:46:52Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","5","B","M","E","2304459","Fortim","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2699608.74","15951","Total das Despesas Exceto Intra-Orçamentárias","2016-11-29T21:09:36Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","4","B","M","E","2603207","Caetés","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3825208.7","28145","Total das Despesas Exceto Intra-Orçamentárias","2016-10-20T21:28:24Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","1","B","M","E","2609501","Nazaré da Mata","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2396076.88","32064","Total das Despesas Exceto Intra-Orçamentárias","2016-03-23T12:33:03Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","1","B","M","E","2612703","Santa Maria do Cambucá","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2224216.05","14048","Total das Despesas Exceto Intra-Orçamentárias","2019-03-30T14:25:01Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","1","B","M","E","2608909","Limoeiro","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","5527408.42","56302","Total das Despesas Exceto Intra-Orçamentárias","2019-05-11T20:54:05Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","4","B","M","E","2613107","São Caitano","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3540750.69","36895","Total das Despesas Exceto Intra-Orçamentárias","2017-09-30T14:06:46Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","4","B","M","E","2608453","Lagoa do Carro","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2404766.59","17886","Total das Despesas Exceto Intra-Orçamentárias","2019-09-30T11:02:23Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","1","B","M","E","2614709","Tacaimbó","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","858514.17","12912","Total das Despesas Exceto Intra-Orçamentárias","2015-05-08T19:39:03Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","1","B","M","E","2307106","Jardim","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3855020.87","27284","Total das Despesas Exceto Intra-Orçamentárias","2019-04-15T17:59:34Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","3","B","M","E","2600708","Aliança","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1180616.59","38261","Total de Despesas Intraorçamentária","2018-07-18T20:25:03Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","2","B","M","E","2309706","Pacatuba","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","464540.96","81627","Total de Despesas Intraorçamentária","2018-05-31T01:39:02Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","4","B","M","E","2307650","Maracanaú","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","33773623.65","223188","Total das Despesas Exceto Intra-Orçamentárias","2017-09-22T18:05:29Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","5","B","M","E","2606606","Ibimirim","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2667602.05","28798","Total das Despesas Exceto Intra-Orçamentárias","2017-11-21T13:27:26Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","1","B","M","E","2308401","Missão Velha","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","5326797.58","35326","Total das Despesas Exceto Intra-Orçamentárias","2018-04-06T13:59:17Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","4","B","M","E","2314102","Viçosa do Ceará","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","786446.8","60355","Total de Despesas Intraorçamentária","2019-09-27T12:17:56Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","3","B","M","E","2300408","Aiuaba","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3035687.07","17303","Total das Despesas Exceto Intra-Orçamentárias","2019-08-05T13:37:16Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","6","B","M","E","2601003","Angelim","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","243640.57","11072","Total de Despesas Intraorçamentária","2020-03-23T17:59:15Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","6","B","M","E","2605152","Dormentes","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","303490.8","18510","Total de Despesas Intraorçamentária","2019-01-25T18:51:17Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","3","B","M","E","2304509","Frecheirinha","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3076747.69","13606","Total das Despesas Exceto Intra-Orçamentárias","2018-07-26T13:36:10Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","6","B","M","E","2300606","Altaneira","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1463271.3","7413","Total das Despesas Exceto Intra-Orçamentárias","2019-01-28T01:49:09Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","2","B","M","E","2307007","Jaguaruana","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","461449.47","33967","Total de Despesas Intraorçamentária","2019-05-28T13:49:51Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","3","B","M","E","2604908","Cumaru","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","118920.58","11635","Total de Despesas Intraorçamentária","2019-07-29T12:47:02Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","3","B","M","E","2313302","Tauá","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1087295.8","58517","Total de Despesas Intraorçamentária","2019-08-01T11:45:51Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","2","B","M","E","2304277","Ererê","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","920361.19","7134","Total das Despesas Exceto Intra-Orçamentárias","2018-06-04T18:26:24Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","6","B","M","E","2313252","Tarrafas","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2240784.01","8926","Total das Despesas Exceto Intra-Orçamentárias","2020-02-04T01:37:25Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","5","B","M","E","2611101","Petrolina","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2629040.83","343865","Total de Despesas Intraorçamentária","2019-11-20T12:42:19Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","4","B","M","E","2600807","Altinho","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","215894.17","22876","Total de Despesas Intraorçamentária","2016-09-30T14:14:36Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","4","B","M","E","2308906","Morrinhos","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2992285.07","21737","Total das Despesas Exceto Intra-Orçamentárias","2015-09-28T17:37:25Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","4","B","M","E","2301109","Aracati","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","7809298.94","73188","Total das Despesas Exceto Intra-Orçamentárias","2017-10-06T01:32:18Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","3","B","M","E","2301604","Assaré","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3030023.74","23058","Total das Despesas Exceto Intra-Orçamentárias","2015-08-08T03:32:52Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","4","B","M","E","2602001","Bodocó","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","658005.77","37571","Total de Despesas Intraorçamentária","2017-09-25T12:13:23Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","2","B","M","E","2310704","Pentecoste","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","4881373.98","36928","Total das Despesas Exceto Intra-Orçamentárias","2018-05-29T16:56:55Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","5","B","M","E","2310704","Pentecoste","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","4441933.02","36928","Total das Despesas Exceto Intra-Orçamentárias","2018-11-30T19:14:50Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","5","B","M","E","2303956","Chorozinho","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3491667.39","19192","Total das Despesas Exceto Intra-Orçamentárias","2016-12-08T01:50:51Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","1","B","M","E","2603926","Carnaubeira da Penha","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","611416.63","12706","Total das Despesas Exceto Intra-Orçamentárias","2017-03-30T23:47:35Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","3","B","M","E","2603009","Cabrobó","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","5423695.97","33557","Total das Despesas Exceto Intra-Orçamentárias","2017-07-24T14:03:30Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","5","B","M","E","2302107","Baturité","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3164943.54","34735","Total das Despesas Exceto Intra-Orçamentárias","2015-12-07T20:37:31Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","4","B","M","E","2304954","Guaiúba","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3520357.18","25841","Total das Despesas Exceto Intra-Orçamentárias","2016-10-18T14:01:02Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","3","B","M","E","2303808","Cedro","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2978570.06","24986","Total das Despesas Exceto Intra-Orçamentárias","2015-07-30T23:15:36Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","1","B","M","E","2304509","Frecheirinha","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1484426.55","13541","Total das Despesas Exceto Intra-Orçamentárias","2016-04-28T19:05:37Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","1","B","M","E","2614501","Surubim","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","4120805.51","62530","Total das Despesas Exceto Intra-Orçamentárias","2015-05-04T17:30:29Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","6","B","M","E","2616183","Vertente do Lério","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","195645.4","7746","Total de Despesas Intraorçamentária","2017-03-15T18:26:11Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","2","B","M","E","2611705","Riacho das Almas","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2740932.18","20443","Total das Despesas Exceto Intra-Orçamentárias","2019-05-28T13:02:14Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","4","B","M","E","2615300","Timbaúba","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3829170.38","53844","Total das Despesas Exceto Intra-Orçamentárias","2015-09-24T20:46:53Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","2","B","M","E","2605103","Custódia","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","598247.75","36474","Total de Despesas Intraorçamentária","2018-05-28T11:18:27Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","2","B","M","E","2606200","Goiana","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1203861.74","78940","Total de Despesas Intraorçamentária","2018-07-30T14:58:40Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","4","B","M","E","2605103","Custódia","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","514777.86","36474","Total de Despesas Intraorçamentária","2017-09-28T19:20:54Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","2","B","M","E","2612554","Santa Filomena","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2232435.63","14265","Total das Despesas Exceto Intra-Orçamentárias","2018-07-25T01:30:24Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","5","B","M","E","2600708","Aliança","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1085602.9","38261","Total de Despesas Intraorçamentária","2018-11-23T16:25:10Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","3","B","M","E","2610905","Pesqueira","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","4097204.33","66153","Total das Despesas Exceto Intra-Orçamentárias","2016-07-29T18:25:08Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","2","B","M","E","2606200","Goiana","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2704754.7","78940","Total das Despesas Exceto Intra-Orçamentárias","2018-07-30T14:58:40Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","1","B","M","E","2601409","Barreiros","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3480586.12","42331","Total das Despesas Exceto Intra-Orçamentárias","2018-04-27T01:30:54Z","##------ Sun Sep 20 09:30:05 2020 ------##"
